"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
15212.2,14540.9,90168.5,17670.6,17546.1,75962.1,-122.278,1590.15,7498.57,1073,350.768,2954.85,474.078,1464.93,957.639,1093.46,58.5547,1948.06,31.1067,2860.63,954.273,2366.77,0.172847
14458.1,13878.6,90566.6,17338.1,17226.5,74138.7,-76.7824,1174.56,7050.09,1005.07,348.112,3089.26,471.72,1705.4,1107.76,1030.53,41.9764,2193.36,42.5578,2975.33,927.32,2305.93,0.180603
14854.2,14139.8,90964.3,16815,16669.2,75839.6,11.0992,1226.65,6911.1,1071.35,290.54,3203.65,274.497,1425.22,940.368,1080.8,61.3974,1979.69,27.7238,2597.68,936.442,2087.99,0.184527
15444.7,14552,93122.6,17353.8,17320.6,75972.4,29.4829,1231.78,6285.39,1073.66,325.919,2962.63,396.563,1412.17,897.392,1163.06,83.5306,1875.16,51.3741,2792.95,777.099,2034.43,0.187207
14160.8,13596.2,89898.3,17403,17116.1,75684.1,-80.4514,984.766,6294.15,1143.92,334.076,2700.9,342.101,1288.35,902.348,954.215,-17.9351,1641.82,53.2041,2721.07,544.292,1972.67,0.191536
18974.9,18358.3,94560.4,19236.6,18932.4,77118.2,2.5868,1383.99,7584.57,1040.93,315.25,3199.16,92.4626,1100.55,916.311,1025.87,80.3915,2139.36,41.8971,2964.16,909.019,2155.57,0.195546
14212.8,13781.7,91251.2,20202,19937.6,76205.2,-90.771,1246.45,6804.53,1287.2,231.932,2810.14,186.918,1811.77,890.056,918.48,118.592,1700.41,7.46171,2697.69,874.492,1921.48,0.195643
15264.4,14516,92237.5,17995.6,17820.2,76022.2,-59.7219,1400.78,7471.79,1103.82,299.257,3181.5,480.608,964.841,934.588,1067.67,11.2428,2381.16,54.9027,2948.17,982.768,2596.29,0.205461
15098.5,14448.3,93276.5,18508.6,18337.5,76381,-71.0473,1623.13,7479.87,1358.1,308.635,3601.15,199.612,1524.34,1065.5,1138.99,-26.7977,2239.19,66.2926,2839.75,901.11,2336.75,0.224559
14762.9,13980.4,92913.8,17581.9,17320.9,75704.7,-79.0768,1370.52,7012.82,889.845,290.551,2898.61,447.244,1256.69,983.043,969.011,88.6637,1968.35,42.1877,2632.11,801.629,1845.5,0.241407
14884.4,14055.9,91336.2,17859.6,17694.8,76472.2,-69.5298,1032.55,5954.93,1240.75,280.495,4381.16,550.144,1451.72,1209.96,1600.03,27.3387,1527.91,106.322,2364.03,580.233,1839.51,0.275279
14067.2,13279.2,90144.2,16334.9,16153.1,74038.1,-154.284,1341.36,6893.9,865.504,278.073,2628.67,479.262,1240.35,818.988,878.877,-32.3171,1801.72,81.4037,2505.75,946.236,1850.99,0.296146
14993.6,14388.1,91090.4,17982.8,17781.6,76117.3,11.6084,1047.92,6470.44,844.697,258.196,3127.82,297.176,1106.63,686.161,981.831,40.1785,1640.83,66.6199,2834.35,819.106,2286.88,0.305313
14781.6,13936.7,91470.7,17255.9,16851.6,76196,-40.0056,1669.79,7795.4,1397.06,309.487,2682.53,144.938,1647.6,969.965,1005.63,105.124,1790.73,23.5596,2806.24,966.714,2114.07,0.339045
14218.9,13469.6,90990.2,17129,16727.3,77338.6,-117.256,1034.72,6569.96,1194.45,304.907,2844.67,526.07,1107.09,947.727,922.987,31.853,1603.32,75.1117,2305.83,806.589,1523.28,0.35141
14165.4,13680.8,88403.5,17299.1,17288.3,76192.5,-130.027,1443.05,7778.6,903.096,297.187,2816.43,475.33,1472.93,965.328,970.116,85.8417,2131.69,29.5062,2855.69,946.113,2130.48,0.354225
14248.9,13557.4,90119.4,16405.5,16238.4,75758.6,-15.0269,1302.86,6900.12,1118.58,317.198,2667.48,338.119,1531.03,935.117,1009.98,1.63295,1886.74,54.7854,2803.29,650.041,1847.61,0.356503
14645.1,14009.3,92956.8,17753.2,17490.5,75621.4,-38.0494,1229.67,6929.39,1142.75,340.49,3201.8,214.724,1268.73,1053.19,976.692,140.408,1625.61,98.1144,2236.45,580.395,1772.17,0.383971
15856.3,13864.3,96811.9,22299.9,20877.9,81061,90.8252,1432.2,8468.15,1265.53,392.95,3976.93,319.157,2158.67,1142.12,1208.36,25.899,2204.98,12.4204,3155.69,1075.53,2168.6,0.408272
14265.8,13615,91146,17229.3,16903.1,76510.1,45.8797,806.057,5058.13,734.433,225.523,2634.14,373.924,1161.42,790.113,950.628,11.194,1196.8,29.3674,2477.61,976.696,1729.15,0.411196
14432.2,13572.2,92371.7,17262.9,16945.1,76483.8,17.5786,834.324,5553.32,798.45,212.351,2286.79,290.972,1114.47,750.76,840.415,2.06539,1149.39,72.5934,2293.09,743.544,1863.97,0.432716
