"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
63781,56090.3,120886,10554.8,9738.93,71275.3,1482.44,11732.2,-127.229,245.442,2347.49,716.387,7176.74,7495.04,112.366,56.2338,97.1808,1806.55,52.6211,-117.3,85.3344,-60.3109,0.0622366
48298,44112.1,114126,7758.87,7233.16,65288.5,-24.3979,2447.48,-35.3389,122.426,1727.68,319.561,793.128,3520.62,103.594,4.05028,18.579,916.814,8.03353,-49.3456,131.254,843.913,0.0631801
59589.5,49136,124876,13587.3,11915.9,77410.7,27.7495,17613.9,-182.332,58.1123,528.211,887.278,322.622,4910.32,74.2071,133.615,119.245,148.098,56.3928,-284.374,107.393,120.46,0.0678651
36337,32282.2,108669,11449.5,9152.21,80302.7,-63.0122,2819.88,76.2266,195.65,6023.25,642.705,320.128,5369.48,263.146,51.8554,44.1377,243.864,34.9661,184.121,-62.8591,227.487,0.0700798
52039.3,43571.9,119529,11049.1,10050.8,72982.7,-163.944,8472.07,-15.3402,66.5758,2095.94,629.345,1481.81,8602.73,159.552,0.886389,5.39186,1068.68,54.8408,46.9785,1.33542,428.531,0.0724324
41755.1,36106.6,120162,10761.9,8632.23,79600.8,84.1656,15147.8,26.4397,29.2738,400.822,853.894,271.926,438.03,138.523,117.597,136.304,2336.74,45.1181,10.5364,29.5581,64.2598,0.0756059
51597.9,43451.8,117860,10870.5,9317.45,75863.1,5.51696,12209.6,2.40155,38.8483,2717.34,788.261,323.389,5957.71,322.38,127.585,86.3354,137.265,13.8689,-71.5651,366.888,492.312,0.0790857
46663.8,41741.5,114458,8741.31,8257.97,67075.3,23.8694,3745.78,16.1878,219.712,549.389,484.277,124.009,5367.78,94.0782,37.9886,37.2424,2989.12,11.1495,-11.4637,45.9537,165.125,0.0820955
66737.4,55221.5,127451,15650,13497.2,80545,9.11085,10575.3,-1.49908,13.4314,3260.63,715.149,802.735,6503.46,220.061,115.512,97.0708,513.215,54.006,-53.3217,35.1929,-81.5456,0.0866442
46962.9,38556.3,120047,11949.7,10849.6,73730.4,102.148,7327.43,-108.052,136.88,552.292,556.477,-30.5227,4503.61,66.2342,54.8242,40.1574,245.258,15.5968,51.2994,176.496,235.312,0.0874011
65590.2,55894.4,123603,15121.4,13371.4,78694,347.111,3521.76,-199.904,92.499,3957.92,894.448,1104.35,12160.8,195.873,15.1889,73.2132,398.328,36.1512,134.522,-45.0603,-15.6145,0.0875525
42427.4,38392.6,112454,8512.74,8025.63,66448.1,-92.7697,5362.71,169.967,-39.0513,6272.89,99.6857,2918.07,3188.38,111.001,37.9457,50.728,674.906,6.3418,7.41319,-8.40396,916.411,0.0878524
54968.1,50620.6,117182,7651.61,7288.48,64041.2,1.40498,3130.22,24.0105,89.2254,4833.79,392.96,136.385,2582.03,116.776,-20.6108,65.9047,299.151,-29.3675,27.2555,10.3983,326.777,0.0890782
69235.1,57140.2,127833,17008.4,14567.6,81077.6,138.639,18167.1,-77.7941,84.6264,1596.72,955.764,290.431,6454.93,112.723,76.5089,93.7861,1934.28,66.4048,-69.3762,293.312,80.0125,0.0933721
33518.7,27427.3,111768,10018,8861.74,73195.9,-57.6214,4351.08,40.7423,-112.962,4522.97,448.753,203.551,2009.17,163.945,10.1366,65.2535,213.711,16.6698,147.963,69.3294,275.729,0.0941155
51021.6,44960.3,117322,9689.2,8860.17,69600.4,5.43698,8747.52,13.0034,37.6994,1563.06,566.004,191.695,5948.45,126.111,48.5429,112.458,784.448,33.9644,-8.56104,80.3146,173.627,0.0959473
54294.4,46841.6,121168,11052,10077.9,73305.4,46.1112,6171.53,-151.971,120.96,3274.71,759.78,350.501,5126.82,-21.65,30.6566,72.2883,592.639,20.195,-74.3454,15.1439,-83.1991,0.0963745
46855.4,41405,115076,9809.82,8829.82,71421,16.9944,3044.86,-109.127,-44.9255,8063.05,815.545,182.027,4833.5,208.903,34.1067,15.8476,599.785,35.9271,104.96,25.8336,1079.42,0.0974567
42154.4,33144,121110,11074.9,9644.87,76194.3,-18.6608,7868.41,-67.1431,59.129,1498.75,786.285,240.384,7882.14,47.9668,76.1883,62.8153,1758.43,51.3229,338.683,237.476,1337.22,0.0976945
57958.8,49504.2,121121,12034.2,10836.8,75809.1,139.103,4593.94,-252.192,264.866,966.046,722.611,351.404,10896.6,205.165,101.409,35.8923,779.772,86.9274,38.9677,97.6185,-70.1717,0.0977556
56631.8,46562,123720,12233,10750.1,77260.9,-41.2194,4718.97,338.748,308.407,1387.48,3281.2,338.633,6870.38,95.9088,-2.37746,172.446,740.203,56.0832,1883.85,89.6972,-49.6039,0.0981238
50825.9,45245.6,114895,8731.12,8121.14,68808.3,10.1313,7858.81,-27.5238,104.757,2884.95,406.791,107.345,2794.09,110.139,32.3116,127.316,1206.98,35.4166,-46.6628,95.3393,199.729,0.0983956
36213.7,30013.8,114834,10662.5,9009.31,77429.2,80.3307,7332.07,96.2389,54.1902,2866.04,476.43,521.433,4226.99,258.249,86.583,88.3386,467.189,37.6262,42.1919,91.7889,1161.71,0.101458
53783.9,46396.1,118020,12322.7,11242.4,74240.4,6.54413,5126.06,-119.195,103.127,3927.35,526.177,1894.71,8862.97,95.415,68.7825,61.8263,566.522,30.9585,-22.8947,21.8842,21.5799,0.101791
59541.5,51690.1,121330,11081.9,10105.8,72141.7,-15.7758,7350.9,-16.9567,153.045,8048.74,825.891,1059.79,8293.75,202.907,32.4617,114.535,1240.63,23.3293,-101.454,52.8454,451.838,0.102803
