"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
14333.6,13730,90624,17438.2,17051,77038,-180.793,1715.29,7014.49,1276.66,285.359,2018.63,354.008,1091.83,768.935,720.951,-71.1622,1768.32,79.3516,3434.92,870.528,2306.43,0.151042
14685.6,14201.2,91001.8,17294.5,16886.8,77029.5,-50.4334,1319.42,6629.27,1051.12,316.912,3104.87,298.949,1114.91,989.292,1174.13,136.5,1729.27,33.0819,2671.72,593.315,1589.94,0.81839
14290.9,13781.2,90807.7,16526.2,16347.3,75753.5,-89.4102,1199.28,6639.02,966.268,337.843,3558.4,422.745,1107.42,1117.77,1152.81,54.5999,2045.26,53.8783,2732.3,572.387,1501.73,0.913157
14332.8,13884.8,91092.6,16848.1,16694.2,74175.7,-44.48,1625.82,7751.5,1193.57,352.765,2263.7,246.886,1083.36,929.521,951.665,110.906,1873.82,67.9974,2986.59,1055.47,1669.92,1.22329
14243.6,13907.3,90643,16650.5,16630.7,76338.3,-44.6403,1445.62,6325.8,1185.31,285.248,2210.7,232.306,746.645,876.195,1042.45,121.929,1996.42,75.9543,2933.44,700.546,1562.11,1.269
14735.2,14159.5,91291,17660.7,17447.5,77050,0.34165,1602.89,6757.69,1167.33,245.697,2204.77,100.031,1167.87,683.391,679.504,137.428,1801.08,94.6363,2784.34,847.202,1599.91,1.68801
17054.1,16442.5,92925,17949,17657.1,76286.9,-65.8342,1289,6678.92,821.298,328.729,2808.87,356.8,1535.83,967.684,912.997,37.9769,1870.57,40.772,2792.76,1036.99,1502.31,1.78887
14321.5,14082.6,89234.3,16778.3,16791.5,75538.6,106.739,1576.28,5112.29,1146.04,223.419,2017.18,59.2799,757.083,729.647,985.248,47.2736,1509.72,28.0519,3384.79,776.559,1853.73,2.67275
15500.1,13960.1,94435,28517.7,27125.5,84147.7,-138.287,2160.51,10406.7,1410.48,419.34,3445.64,550.688,1401.47,1240.84,1365.82,99.1096,2658.91,136.751,4826.66,1006.64,2726.25,2.90145
14821.1,14438.8,90868.6,18343.4,18181,75717.5,14.1711,1513.74,6876.71,845.551,340.215,3232.84,269.491,1467.65,1110.92,1099.2,192.876,2352.71,2.56532,2997.41,1035.46,2032.96,3.47328
14176.8,13798.8,90321.3,17285,17213.5,75534.5,22.4286,1240.64,6489.43,931.909,267.827,2711.81,131.93,1265.82,952.878,1017.72,23.5433,1767.91,36.197,2700.62,646.571,1798.85,3.95392
15354,14911.6,92122.3,17637.5,17467.7,75795.4,-77.8958,1472.77,6703.85,1241.69,360.888,2671.76,275.523,1084.34,881.545,946.835,66.5066,1826.19,21.437,3187.63,719.222,2072.21,4.1433
14770.5,14271.9,92710.7,17547.7,17215.2,76812.5,-46.0731,1409.93,6959.61,900.727,192.695,1771.9,329.203,968.132,820.575,669.855,-15.2607,1828.47,72.5411,3163.25,795.076,1713.33,4.6186
14566,14030.9,90585.8,16667.3,16249.8,76108.6,-19.5152,1377.33,5556.79,1010.91,241.805,1777.01,286.659,1006.43,826.431,720.254,15.8041,1425.11,65.5109,3113.59,582.041,2146.31,4.94718
17149.8,16290.3,95814,19757.8,19182.9,79153.5,43.6699,1348.19,7109.95,1160.46,159.459,3215.21,21.625,1023.45,1085.18,1113.13,-25.662,1749.26,57.9819,3011.81,735.816,1537.99,5.01736
14300.7,13818.8,90282.9,17204,16924.4,77192.1,-67.1608,1448.67,6607.2,958.852,268.761,1881.87,124.344,817.712,749.227,801.897,50.8253,1771.44,-8.92971,2825.41,814.212,1603.69,5.31956
14901.7,14594,90625.9,15431,15183.5,73761.7,12.2714,1502.51,6272.98,748.39,238.699,1946.42,104.014,903.207,758.843,615.948,87.6933,1856.15,25.2824,3043.16,832.539,1993.92,5.34247
14133.3,13590,91240,17004.5,16670.9,76448.2,-44.997,1321.12,7330.88,1218.28,382.887,3116.52,386.133,1200.9,990.763,1016.71,107.24,1985.75,22.2336,2840.01,778.699,1691.53,5.38794
14480.8,13859.5,90923.4,17373.9,16909.5,76530,-28.9499,1289.29,6566.32,998.529,297.402,3439.94,492.894,1724.28,1100.07,1157.98,75.9373,2076.69,53.3763,2975.85,863.864,1725.56,5.44992
13811.3,13223.6,89608.6,17122.5,16772.1,77266.3,95.2374,1353.26,6791.68,1110.07,385.203,3107.81,281.556,1193.49,1052.97,1184.29,92.4208,2013.11,45.915,2889.84,907.182,1805.55,7.42441
14606.5,13814.6,94079.1,17105.1,16699.7,77260.9,-40.3019,1219.93,5803.11,1051.16,238.662,2706.91,68.9604,980.116,806.386,787.685,6.15788,1407.31,29.1087,2518.21,488.221,1672.32,7.48382
14404,13847.1,91450.2,17249.1,16918.5,76327.5,-3.75559,1409.52,7414.65,793.98,359.871,3275.49,478.068,1457.93,1070.21,1083.52,131.443,2014.6,54.518,2747.76,1037.5,1943.98,7.75563
14385.4,13809.8,93425.4,16895.6,16599,75796.6,29.266,1307.91,6675.05,887.117,308.796,3200.54,297.352,1140.64,861.802,1002.56,72.3056,1732.54,50.3244,2433.37,998.88,1407.48,8.26111
14417.1,13872.3,89492,16746.1,16413.2,75816.4,-55.863,1456.35,6934.79,902.643,325.041,3130.39,334.523,1290.48,844.848,1072.11,76.5187,1873.17,43.1347,2980.88,843.417,1975.58,8.26303
14718.2,14208.2,90985.2,17531.5,17247.1,76632.6,180.151,1335.28,5525.74,1052.84,320.207,2754.17,35.2724,639.157,935.971,1041.42,61.0298,1758.17,71.9937,2979.31,690.358,1731.91,8.35315
14005.1,13540.2,90710.7,16622.5,16370.4,75887,34.1763,1119.64,6531.07,1218.43,269.778,3348.53,98.1406,1164.93,858.086,1056.53,131.986,1947.08,87.7782,2840.37,736.38,1631.3,8.83319
13613.6,13000.1,89751.7,16888.9,16393.4,77125.9,24.4415,1200.42,6481.91,1026.62,270.382,2428.83,118.815,1249.75,759.228,819.581,32.5294,1889.54,72.1885,2884.91,887.21,1857.43,9.02656
14723,14038.3,90577.1,17665.9,17198.9,78138.7,-84.2695,1374.52,7087.79,1049.88,294.601,3075.38,339.47,1419.16,1024.22,983.449,51.6474,1742.36,66.4697,2643.84,838.935,1650.91,9.30588
14221,13591.1,91048.8,16430.4,16012.5,76752.4,-53.6199,1328.61,6973.71,1103.6,348.749,2277.53,392.095,1161.5,956.267,889.718,18.2961,1743.92,43.3987,2715.77,641.555,1802.64,9.57259
14128.9,13485.3,92161,16386.3,16214.8,76249.7,-84.5099,1626.5,6450.89,1169,250.479,2321.57,285.931,1366.13,839.332,878.715,110.451,1804.62,34.0114,3136.4,681.714,1571.44,10.1982
14389.3,13795.8,90727.4,17094.2,16770.3,77089.7,-136.547,1466.22,6672.79,1093.08,280.638,2734.89,354.429,1101.7,963.235,906.458,4.03581,2030.76,31.0447,3301.05,780.291,1796.62,10.2143
