"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
14767.2,13868.1,89969.2,17028.6,16546.9,73928.1,-101.734,1633.3,7608.93,970.925,286.525,2902.81,489.137,1638.08,874.296,1081.93,66.486,1903.02,34.9603,2245.23,864.265,1533.25,0.0419344
15564.9,14686.6,90686.7,18656.7,18021.8,76302,-65.1885,1327.54,6249.52,1057.31,363.939,3185.72,465.869,1293.94,1273.4,1065.29,179.277,2145.92,43.891,2402.65,757.216,1699.36,0.0452757
15433,14512.6,91087.1,18239.7,17650.9,75767.9,-41.4524,1133.17,6638.25,970.805,293.538,3039.44,385.892,1647.67,907.942,1097.35,-23.896,1906.2,93.4289,2291.37,682.096,1978.41,0.0461767
15325.8,14485.2,90205.4,17862.6,17307.4,76233.7,-104.113,1222.6,6523.25,1129.75,303.498,3429.92,587.049,1393.91,956.18,1160.64,111.06,2009.2,69.7687,2308.58,825.086,1796.43,0.0465779
14473,13577.5,90285.5,17117.1,16520.7,76608.7,-26.8112,1066.02,6573.94,1021.12,318.039,3085.77,381.788,1174.69,1007.73,939.162,84.992,1771.93,83.0014,1798.41,767.338,1544.86,0.0513276
15012,14158.5,90594,17422.7,16898.8,73520.8,-111.519,1085.74,6872.52,783.635,307.121,3000.41,556.649,1496.71,929.137,1058.97,27.7254,1809.39,44.4584,2358.05,614.055,1699.54,0.0521274
15669.4,14814.4,91923.7,19431.3,18803.3,77156,95.5676,1501.45,7247.43,1036.15,298.009,2920.2,101.452,1781.68,929.307,1057.13,33.1063,2048.31,62.177,2491.73,844.332,2073.93,0.0529994
14881.8,13846.8,89827.4,17911.6,17445.4,75829.8,-23.5471,1228.29,7144.98,1212.53,310.137,3587.19,373.485,1474.51,966.927,1125.73,90.6589,2379.66,16.6878,2343.79,739.989,1733.21,0.0538394
14590.6,13795.4,89996.8,17157.3,16742,73444.3,-88.5552,1321.25,7151.6,1045.82,335.974,3114.25,594.253,1739.54,1027.9,1054.45,82.4093,1966.26,57.9972,2624.43,579.79,1706.21,0.0544797
15099.6,14279.6,90619.9,18543.4,18028.3,75858.1,-133.138,1262.68,7479.3,1200.12,455.319,3341.73,289.27,1453.93,1027.08,1215.14,117.072,2316.09,15.6407,2630.15,770.49,1760.4,0.0572998
15458,14570.9,90426.8,18622.1,18029.7,75678.7,-74.1038,1349.96,7439.03,1199.38,313.231,3239.24,286.969,1451.9,1232.64,1119.43,39.5973,2031.84,68.6759,2335.18,706.424,1890.43,0.0593245
16757,14582.7,96635.6,23138.3,21161.9,82479.5,-108.152,1528.93,9259.02,1616.36,433.131,3951.35,375.833,2057.43,1168.85,1416.84,128.385,2504.67,99.6016,2985.69,900.701,2456.89,0.0595953
11713.8,10899.6,88224.4,18370.6,17876.6,75655.7,-85.2854,1082.65,6551.84,999.607,362.133,3399.98,439.865,1506,1058.57,1086.48,179.118,1896.74,58.4417,2117.97,600.633,1632.2,0.05971
15141.6,14357.2,89776,18622.8,17938.5,76242.6,-189.449,1357.22,6434,1347.73,180.581,2656.9,358.025,1301.52,720.287,976.635,80.2931,1742.79,11.2268,2587.83,642.9,1634.8,0.0597824
14420.1,13486.5,90040.5,17040.1,16291.9,76791.7,12.4413,1076.91,6687.7,861.69,306.664,3251.32,483.616,1315.7,1006.8,1085.29,23.3153,1806.69,59.336,2003.36,836.331,1505.9,0.0648814
14739.1,13840.8,91429.3,18121,17453.5,75528.3,-84.2488,1585.02,7429.92,1100.48,389.035,3109.29,488.347,1698.95,864.45,1126.49,4.87599,2154.01,77.5577,2734.47,734.985,1931,0.0709867
13674.9,12822.1,90767,16943.9,16420.1,75800.9,-43.5189,1088.18,6053.46,1131.63,284.276,3108.61,489.985,1598.59,951.751,1050.71,30.6184,1777.25,29.0805,2465.93,538.354,2834.37,0.0749079
14961.8,14007.8,90790.8,18135.7,17530.9,75706.7,-67.2137,1058.41,7120.93,1073.79,348.588,3307.84,348.926,1206.44,882.033,1203.39,73.2874,2318.82,55.8808,2532.91,897.358,2034.53,0.0776349
14468.9,13688,89925.3,17196.5,16749.9,74759.4,-87.4163,1287.67,6913.83,1130.04,358.178,3199.84,409.055,1084.09,928.559,1114.84,33.4811,2052.03,91.8815,2370.34,890.715,1758.55,0.078969
14217.5,13368.8,90094.1,17035,16466,74238.3,-202.054,1150.87,7206.14,1111.24,265.417,3195.97,821.351,1394.43,853.586,1081.75,92.7166,1709.42,24.7834,2061.86,625.728,1438.2,0.0793384
13900.1,13030.9,90433.6,17198.1,16579.8,76064.8,0.495665,1235.02,6209.88,1207.13,351.099,3293.97,262.243,1142.8,899.983,1059.82,48.6375,1563.75,37.9751,2081.76,747.633,1668.69,0.0805702
14410.1,13479,89352.6,16645.3,16132.3,73633.2,-172.705,1300.19,6126.16,1008.02,348.788,2954.23,726.956,1423.68,847.892,1083.81,22.004,1683.98,43.7252,2297.22,512.488,1477.59,0.0811711
15432,14513.7,90869.4,18463.9,17740.6,75576.2,18.7557,1340.51,6984.29,1216.17,334.504,3395.18,225.118,1338.92,1021.84,1117.93,129.967,1985.72,98.4009,2694.64,747.84,1839.41,0.0821089
14405.8,13644.8,90039.2,17142.9,16732.6,74284.3,-8.0839,1116.83,6190.99,861.77,217.759,2060,197.167,1124.21,556.108,834.346,-14.7224,1226.07,0.85853,2467.36,948.852,1587.44,0.0868023
14964.5,14138,89832.4,18325.8,17754.4,73719.8,-56.0479,1345.04,7348.37,1506.88,384.715,2988.82,381.866,1453.65,1237.22,1252.79,48.5215,2345.25,28.3849,2961.97,846.659,2031.88,0.0910365
14853,14104.8,89692.9,18161.3,17610,76627.7,-210.634,1437.8,7085.54,1288.27,276.881,2951.14,569.668,1446.28,1134.38,1250.67,-18.5672,1988.24,68.2907,2273.9,983.975,1874.27,0.0920867
14921,14143.7,89313.9,17822.4,17235.7,75560.7,-72.4706,1222.96,6572.16,1005.8,308.071,3280.65,517.357,1366.99,1102.99,1012.36,106.377,1930.64,68.9159,2248.47,716.69,1651.82,0.0927636
16016.4,14777.8,93111.8,21718.8,20926.7,78367.7,-138.423,1586.2,9007.62,1180.52,439.771,3817.39,525.437,1916.38,1252.69,1443.93,28.1854,2578.81,79.5701,3279.12,850.26,2365.19,0.097318
14550.2,13614.6,90760.7,16723.2,16194.1,73334.1,-183.065,1289.88,6466.24,1198.64,342.61,2636.43,657.263,1700.64,963.006,973.432,77.4832,1734.53,54.6319,2342.02,634.107,1582.42,0.0975576
14913.8,14048.8,90187,17547.9,17013,76427.7,-26.5143,1123.98,6746.37,1099.11,322.771,3171.8,294.664,1714.26,1122.26,1031.77,56.5512,2175.6,98.7095,2419.22,788.643,1655.43,0.0991401
14672.6,13876,87475.4,18142.7,17611.3,75846.5,22.3029,1472.43,6736.79,1221.71,366.226,3037.16,520.619,1909.43,1008.03,1106.35,45.2041,2226.14,70.0777,2656.61,979.139,2043.67,0.101923
14559.9,13680.7,90037.1,17400.3,16933.6,74157.6,-71.0867,1345.65,7381.82,1186.31,349.347,3344.16,369.329,1649,1108.63,1111.71,113.142,2108.22,-4.42798,2827.73,710.703,1831.26,0.102476
14554.6,13590.9,91091.9,16723.1,16062.3,76437.6,-73.8851,1025.89,6760.48,1013.74,341.211,3319.79,256.381,1402.02,905.639,1030.2,-39.7376,1754.49,7.99477,2179.84,501.228,1407.77,0.108228
14383.2,13427.2,87809.9,16837.2,16346.9,73926.8,75.2855,1344.17,6947.94,966.492,354.765,3592.92,314.573,1290.06,1001.81,1072.75,97.0926,2148.19,11.468,2414.15,693.247,1750.29,0.109487
14486.2,13461.5,91448.9,16941.7,16328.7,76040.8,-22.0104,1375.25,6990.41,880.618,314.141,3526.96,586.852,1022,996.849,1020.02,64.0032,1846.95,51.0826,2169.35,980.367,1482.64,0.114069
14273.6,13361.5,91122.2,17203.2,16628.4,73775,-60.6123,1099.63,7199.39,1029.57,332.232,3444.99,370.721,1600.92,865.951,1185.72,90.8041,1995.74,31.7673,2377.75,843.734,1896.6,0.114882
14269.6,13356.5,89807.8,16306,15793.8,73481.1,-87.0924,1127.92,7223.41,1276.7,293.188,3118.48,356.11,1319.12,853.232,1089.22,26.9729,1815.02,-5.35301,2253.89,841.042,1749.63,0.115562
