"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
45114,38649.8,121998,10736.7,9294.07,75696.4,398.52,4699.32,305.848,335.112,5532.53,340.164,2353.82,1601.84,57.3393,110.872,-8.64698,351.456,36.4218,52.363,-70.5867,-339.446,20.1174
63767.4,50344.1,130787,17454,14034.1,88601.1,303.011,12638.7,1470.15,1615.37,784.093,739.77,624.356,4945.76,389.213,237.938,186.033,1064.6,79.6953,430.609,103.987,-865.253,21.434
58510.6,49577.2,123435,11942.4,10435.1,77277.6,6.45676,2541.48,759.445,696.221,681.152,346.569,-180.505,3254.8,111.954,131.55,88.9435,1221.15,61.9616,438.402,8.16293,-121.148,21.7609
46699,38368.6,124270,9986.24,8559.83,74213.8,273.725,12950.5,660.036,542.638,467.033,-4.50185,372.142,3719.62,34.4698,115.981,198.376,4710.03,2.17523,-36.2416,126.016,4927.77,21.9592
53946.7,45239.8,124137,11030.3,9329.38,77399.3,865.188,13688.3,884.333,782.73,2798.53,32.2926,1476.64,2673.62,332.745,104.717,139.71,2023.78,41.5279,205.749,89.1127,-875.439,22.3984
54167.7,44585.9,127253,10717.7,8939.32,76501.8,47.5598,11746.4,960.922,1019.55,1411.35,529.791,-78.9164,2492.91,461.592,78.1021,98.3738,386.187,21.3789,17.0889,6.68559,-969.027,22.4595
55975,48989.1,121163,8532.75,7496.2,71629.9,14195.4,3780.78,1060.93,801.608,438.383,437.352,2395.71,600.029,58.3869,234.416,77.7573,5275.3,54.2728,-5.87796,83.5436,2540.53,22.5645
48120.1,40172.6,121890,9287.37,7827.54,74054.3,4008.05,8793.85,1310.99,835.994,935.425,343.46,2533.35,680.305,93.8599,1.14395,234.938,1980.01,4.72041,-57.0781,-97.95,-1021.41,22.8615
76188.8,63639.5,131472,20248.8,16880.5,88438.8,59.6006,2352.95,568.12,462.581,2156.54,822.646,464.409,4373.52,364.402,21.0249,469.965,643.805,124.766,-66.8753,104.469,-278.04,23.1097
65267.7,56546.6,127051,17586.5,14360.2,86900.2,135.352,10708.2,333.262,582.887,13079.9,692.205,954.218,1556.67,292.003,425.241,345.903,1522.34,41.0621,-190.73,-100.376,-360.607,23.6476
